fiscal_year,district,local_admin_org,waste_amount,unit
2566,กำแพงแสน,องค์การบริหารส่วนตำบลหนองกระทุ่ม,32.0,ตันต่อปี
2566,กำแพงแสน,องค์การบริหารส่วนตำบลห้วยขวาง,100.0,ตันต่อปี
2566,กำแพงแสน,องค์การบริหารส่วนตำบลห้วยม่วง,135.0,ตันต่อปี
2566,กำแพงแสน,องค์การบริหารส่วนตำบลห้วยหมอนทอง,7.0,ตันต่อปี
2566,นครชัยศรี,เทศบาลตำบลขุนแก้ว,127.0,ตันต่อปี
2566,นครชัยศรี,เทศบาลตำบลนครชัยศรี,319.0,ตันต่อปี
2566,นครชัยศรี,เทศบาลตำบลห้วยพลู,78.2,ตันต่อปี
2566,นครชัยศรี,เทศบาลตำบลศีรษะทอง,20.0,ตันต่อปี
2566,นครชัยศรี,องค์การบริหารส่วนตำบลงิ้วราย,0.0,ตันต่อปี
2566,นครชัยศรี,องค์การบริหารส่วนตำบลดอนแฝก,39.0,ตันต่อปี
2566,นครชัยศรี,องค์การบริหารส่วนตำบลท่ากระชับ,4.0,ตันต่อปี
2566,นครชัยศรี,องค์การบริหารส่วนตำบลท่าตำหนัก,10.0,ตันต่อปี
2566,นครชัยศรี,องค์การบริหารส่วนตำบลท่าพระยา,14.0,ตันต่อปี
2566,นครชัยศรี,องค์การบริหารส่วนตำบลไทยาวาส,10.0,ตันต่อปี
2566,นครชัยศรี,องค์การบริหารส่วนตำบลนครชัยศรี,60.0,ตันต่อปี
2566,นครชัยศรี,องค์การบริหารส่วนตำบลบางแก้ว,3.0,ตันต่อปี
